index,vehicleplatenumber,device_num,direction_angle,lng,lng_xiu,lngx,lng_hou,lng_cha,lat,lat_hou,lat_xiu,latx,lat_cha,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,gps_spee_hou,speed_add,mileage,mileage_hou,mileage_add,s,year,month,day,hour,minute,second
40985,AA00004,AAA9101004,0,114.777756,,114777756,114777756,0,28.698876,28698880,,28698876,4,1,0,0,0,0,2018-08-07 00:00:04,0,0,0,6011,6011,0,,2018,8,7,0,0,4
40986,AA00004,AAA9101004,0,114.777756,,114777756,114777750,-6,28.69888,28698880,,28698880,0,1,0,0,0,0,2018-08-07 00:00:07,0,0,0,6011,6011,0,,2018,8,7,0,0,7
40987,AA00004,AAA9101004,0,114.77775,,114777750,114777745,-5,28.69888,28698881,,28698880,1,1,0,0,0,0,2018-08-07 00:00:08,0,0,0,6011,6011,0,,2018,8,7,0,0,8
40988,AA00004,AAA9101004,0,114.777745,,114777745,114777745,0,28.698881,28698881,,28698881,0,1,0,0,0,0,2018-08-07 00:00:10,0,0,0,6011,6011,0,,2018,8,7,0,0,10
40989,AA00004,AAA9101004,0,114.777745,,114777745,114777735,-10,28.698881,28698886,,28698881,5,1,0,0,0,0,2018-08-07 00:00:11,0,0,0,6011,6011,0,,2018,8,7,0,0,11
40990,AA00004,AAA9101004,0,114.777735,,114777735,114777735,0,28.698886,28698886,,28698886,0,1,0,0,0,0,2018-08-07 00:00:12,0,0,0,6011,6011,0,,2018,8,7,0,0,12
40991,AA00004,AAA9101004,0,114.777735,,114777735,114777726,-9,28.698886,28698895,,28698886,9,1,0,0,0,0,2018-08-07 00:00:13,0,0,0,6011,6011,0,,2018,8,7,0,0,13
40992,AA00004,AAA9101004,0,114.777726,,114777726,114777721,-5,28.698895,28698898,,28698895,3,1,0,0,0,0,2018-08-07 00:00:14,0,0,0,6011,6011,0,,2018,8,7,0,0,14
40993,AA00004,AAA9101004,0,114.777721,,114777721,114777721,0,28.698898,28698898,,28698898,0,1,0,0,0,0,2018-08-07 00:00:15,0,0,0,6011,6011,0,,2018,8,7,0,0,15
40994,AA00004,AAA9101004,0,114.777721,,114777721,114777721,0,28.698898,28698898,,28698898,0,1,0,0,0,0,2018-08-07 00:00:16,0,0,0,6011,6011,0,,2018,8,7,0,0,16
40995,AA00004,AAA9101004,0,114.777721,,114777721,114777721,0,28.698898,28698898,,28698898,0,1,0,0,0,0,2018-08-07 00:00:17,0,0,0,6011,6011,0,,2018,8,7,0,0,17
40996,AA00004,AAA9101004,0,114.777721,,114777721,114777725,4,28.698898,28698903,,28698898,5,1,0,0,0,0,2018-08-07 00:00:18,0,0,0,6011,6011,0,,2018,8,7,0,0,18
40997,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:19,0,0,0,6011,6011,0,,2018,8,7,0,0,19
40998,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:20,0,0,0,6011,6011,0,,2018,8,7,0,0,20
40999,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:21,0,0,0,6011,6011,0,,2018,8,7,0,0,21
41000,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:23,0,0,0,6011,6011,0,,2018,8,7,0,0,23
41001,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:24,0,0,0,6011,6011,0,,2018,8,7,0,0,24
41002,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:25,0,0,0,6011,6011,0,,2018,8,7,0,0,25
41003,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:26,0,0,0,6011,6011,0,,2018,8,7,0,0,26
41004,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:27,0,0,0,6011,6011,0,,2018,8,7,0,0,27
41005,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:28,0,0,0,6011,6011,0,,2018,8,7,0,0,28
41006,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:29,0,0,0,6011,6011,0,,2018,8,7,0,0,29
41007,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:30,0,0,0,6011,6011,0,,2018,8,7,0,0,30
41008,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:31,0,0,0,6011,6011,0,,2018,8,7,0,0,31
41009,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:32,0,0,0,6011,6011,0,,2018,8,7,0,0,32
41010,AA00004,AAA9101004,0,114.777725,,114777725,114777725,0,28.698903,28698903,,28698903,0,1,0,0,0,0,2018-08-07 00:00:33,0,0,0,6011,6011,0,,2018,8,7,0,0,33
