index,vehicleplatenumber,device_num,direction_angle,lng,lng_xiu,lngx,lng_hou,lng_cha,lat,lat_hou,lat_xiu,latx,lat_cha,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,gps_spee_hou,speed_add,mileage,mileage_hou,mileage_add,s,year,month,day,hour,minute,second
31462,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:00,0,0,0,5875,5875,0,,2018,8,5,0,0,0
31463,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:01,0,0,0,5875,5875,0,,2018,8,5,0,0,1
31464,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:02,0,0,0,5875,5875,0,,2018,8,5,0,0,2
31465,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:03,0,0,0,5875,5875,0,,2018,8,5,0,0,3
31466,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:04,0,0,0,5875,5875,0,,2018,8,5,0,0,4
31467,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:05,0,0,0,5875,5875,0,,2018,8,5,0,0,5
31468,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:06,0,0,0,5875,5875,0,,2018,8,5,0,0,6
31469,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:07,0,0,0,5875,5875,0,,2018,8,5,0,0,7
31470,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:08,0,0,0,5875,5875,0,,2018,8,5,0,0,8
31471,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:09,0,0,0,5875,5875,0,,2018,8,5,0,0,9
31472,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:10,0,0,0,5875,5875,0,,2018,8,5,0,0,10
31473,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:11,0,0,0,5875,5875,0,,2018,8,5,0,0,11
31474,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:12,0,0,0,5875,5875,0,,2018,8,5,0,0,12
31475,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:13,0,0,0,5875,5875,0,,2018,8,5,0,0,13
31476,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:14,0,0,0,5875,5875,0,,2018,8,5,0,0,14
31477,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:15,0,0,0,5875,5875,0,,2018,8,5,0,0,15
31478,AA00004,AAA9101004,254,115.905423,,115905423,115905423,0,28.661708,28661708,,28661708,0,1,0,0,0,0,2018-08-05 00:00:16,0,0,0,5875,5875,0,,2018,8,5,0,0,16
