index,vehicleplatenumber,device_num,direction_angle,lng,lng_xiu,lngx,lng_hou,lng_cha,lat,lat_hou,lat_xiu,latx,lat_cha,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,gps_spee_hou,speed_add,mileage,mileage_hou,mileage_add,s,year,month,day,hour,minute,second
30108,AA00004,AAA9101004,0,115.924515,,115924515,115924515,0,28.650986,28650990,,28650986,4,1,0,0,0,0,2018-08-04 23:37:03,0,0,0,5872,5872,0,,2018,8,4,23,37,3
30109,AA00004,AAA9101004,0,115.924515,,115924515,115924515,0,28.65099,28650990,,28650990,0,1,0,0,0,0,2018-08-04 23:37:05,0,0,0,5872,5872,0,,2018,8,4,23,37,5
30110,AA00004,AAA9101004,0,115.924515,,115924515,115924516,1,28.65099,28650990,,28650990,0,1,0,0,0,0,2018-08-04 23:37:07,0,0,0,5872,5872,0,,2018,8,4,23,37,7
30111,AA00004,AAA9101004,0,115.924516,,115924516,115924516,0,28.65099,28650986,,28650990,-4,1,0,0,0,0,2018-08-04 23:37:08,0,0,0,5872,5872,0,,2018,8,4,23,37,8
30112,AA00004,AAA9101004,0,115.924516,,115924516,115924516,0,28.650986,28650986,,28650986,0,1,0,0,0,0,2018-08-04 23:37:09,0,0,0,5872,5872,0,,2018,8,4,23,37,9
30113,AA00004,AAA9101004,0,115.924516,,115924516,115924516,0,28.650986,28650986,,28650986,0,1,0,0,0,0,2018-08-04 23:37:10,0,0,0,5872,5872,0,,2018,8,4,23,37,10
30114,AA00004,AAA9101004,0,115.924516,,115924516,115924516,0,28.650986,28650986,,28650986,0,1,0,0,0,0,2018-08-04 23:37:11,0,0,0,5872,5872,0,,2018,8,4,23,37,11
30115,AA00004,AAA9101004,0,115.924516,,115924516,115924516,0,28.650986,28650986,,28650986,0,1,0,0,0,0,2018-08-04 23:37:12,0,0,0,5872,5872,0,,2018,8,4,23,37,12
30116,AA00004,AAA9101004,0,115.924516,,115924516,115924516,0,28.650986,28650986,,28650986,0,1,0,0,0,0,2018-08-04 23:37:13,0,0,0,5872,5872,0,,2018,8,4,23,37,13
30117,AA00004,AAA9101004,0,115.924516,,115924516,115924516,0,28.650986,28650986,,28650986,0,1,0,0,0,0,2018-08-04 23:37:14,0,0,0,5872,5872,0,,2018,8,4,23,37,14
